country	Benin	#FF1493
country	Brazil	#006400
country	Burkina Faso	#8B4513
country	Cameroon	#FFD700
country	Cuba	#00FFFF
country	France	#FF4500
country	French Guiana	#9400D3
country	Ghana	#800020
country	Ivory Coast	#00FF00
country	Nigeria	#000080
country	Togo	#FF00FF
country	USA	#000000
		
region	Africa	#8B4513
region	Asia	#D32F2F
region	Europe	#FBC02D
region	North America	#2E8B57
region	South America	#006400
region	Oceania	#6A1B9A

host	Dioscorea alata	#1B9E77
host	Dioscorea cayenensis	#D95F02
host	Dioscorea cayenensis subsp. rotundata	#E6AB02
host	Dioscorea esculenta	#7570B3
host	Dioscorea sp.	#66A61E
host	Dioscorea trifida	#E7298A
