strain	date	country	region	host	accession	isolates	authors
R-Oct-20-300-1_MZ670783_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670783	R-Oct-20-300-1	Osundahunsi et al.
R-Sep-20-1000-1_MZ670784_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670784	R-Sep-20-1000-1	Osundahunsi et al.
R-Oct-20-1000-1_MZ670785_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670785	R-Oct-20-1000-1	Osundahunsi et al.
R-Sep-20-1000-2_MZ670786_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670786	R-Sep-20-1000-2	Osundahunsi et al.
R-Sep-20-1000-3_MZ670787_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670787	R-Sep-20-1000-3	Osundahunsi et al.
R-Aug-20-300-1_MZ670788_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670788	R-Aug-20-300-1	Osundahunsi et al.
R-Aug-20-300-2_MZ670789_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670789	R-Aug-20-300-2	Osundahunsi et al.
R-Aug-20-300-3_MZ670790_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670790	R-Aug-20-300-3	Osundahunsi et al.
R-Oct-20-500-2_MZ670791_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670791	R-Oct-20-500-2	Osundahunsi et al.
R-Aug-20-500-1_MZ670792_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670792	R-Aug-20-500-1	Osundahunsi et al.
R-Aug-20-500-2_MZ670793_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670793	R-Aug-20-500-2	Osundahunsi et al.
R-Sep-20-300-1_MZ670794_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670794	R-Sep-20-300-1	Osundahunsi et al.
R-Sep-20-300-2_MZ670795_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670795	R-Sep-20-300-2	Osundahunsi et al.
R-Sep-20-500-1_MZ670796_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670796	R-Sep-20-500-1	Osundahunsi et al.
R-Sep-20-500-2_MZ670797_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670797	R-Sep-20-500-2	Osundahunsi et al.
R-Sep-20-500-3_MZ670798_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670798	R-Sep-20-500-3	Osundahunsi et al.
R-Sep-20-1000-7_MZ670799_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670799	R-Sep-20-1000-7	Osundahunsi et al.
R-Sep-20-1000-8_MZ670800_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-09-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670800	R-Sep-20-1000-8	Osundahunsi et al.
R-Oct-20-300-3_MZ670801_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670801	R-Oct-20-300-3	Osundahunsi et al.
