Name;Accession;Organism;collection_date;country;host;strain
YMVcp-GS172b;MT501334.1;Yam mosaic virus;2016-11-01;Cameroon: Malarba II;Dioscorea cayenensis subsp. rotundata;YMVcp-GS172b
YMVcp-WH214b;MT501335.1;Yam mosaic virus;2016-11-02;Cameroon: Baigon, Foumbot;Dioscorea cayenensis;YMVcp-WH214b
YMVcp-HB285b;MT501336.1;Yam mosaic virus;2016-11-01;Cameroon: Ekoroko, Ntui;Dioscorea cayenensis;YMVcp-HB285b
YMVcp-HB96;MT501337.1;Yam mosaic virus;2016-11-01;Cameroon: Mandjou;Dioscorea cayenensis subsp. rotundata;YMVcp-HB96
YMVcp-GS100;MT501338.1;Yam mosaic virus;2016-11-01;Cameroon: Mayo Baleo;Dioscorea cayenensis subsp. rotundata;YMVcp-GS100
YMVcp-GS156;MT501339.1;Yam mosaic virus;2016-11-01;Cameroon: Karna -Manga;Dioscorea cayenensis subsp. rotundata;YMVcp-GS156
YMVcp-WH161;MT501340.1;Yam mosaic virus;2016-11-02;Cameroon: Bali;Dioscorea cayenensis;YMVcp-WH161
YMVcp-WH194;MT501341.1;Yam mosaic virus;2016-11-02;Cameroon: Batibo;Dioscorea cayenensis;YMVcp-WH194
YMVcp-WH127;MT501342.1;Yam mosaic virus;2016-11-02;Cameroon: Babadjou;Dioscorea cayenensis;YMVcp-WH127
YMVcp-GS143;MT501343.1;Yam mosaic virus;2016-11-01;Cameroon: Mayo Baleo;Dioscorea cayenensis subsp. rotundata;YMVcp-GS143
YMVcp-GS233;MT501344.1;Yam mosaic virus;2016-11-01;Cameroon: Ngaounyanga;Dioscorea cayenensis subsp. rotundata;YMVcp-GS233
YMVcp-WH261;MT501345.1;Yam mosaic virus;2016-11-02;Cameroon: Jakiri;Dioscorea cayenensis;YMVcp-WH261
YMVcp-GS280;MT501346.1;Yam mosaic virus;2016-11-01;Cameroon: Tagboum;Dioscorea cayenensis subsp. rotundata;YMVcp-GS280
YMVcp-HB303;MT501347.1;Yam mosaic virus;2016-11-01;Cameroon: Nguette- Ntui;Dioscorea cayenensis;YMVcp-HB303
YMVcp-HM26;MT501348.1;Yam mosaic virus;2016-08-16;Cameroon: Mile 40 village;Dioscorea cayenensis subsp. rotundata;YMVcp-HM26
YMVcp-WH132;MT501349.1;Yam mosaic virus;2016-08-24;Cameroon: Kontan Bali;Dioscorea cayenensis;YMVcp-WH132
YMVcp-GS183;MT501350.1;Yam mosaic virus;2016-08-28;Cameroon: Nem -ne, Wara;Dioscorea cayenensis subsp. rotundata;YMVcp-GS183
YMVcp-GS258;MT501351.1;Yam mosaic virus;2016-09-05;Cameroon: Mbele Mbeke;Dioscorea cayenensis;YMVcp-GS258
YMVcp-HB290;MT501352.1;Yam mosaic virus;2016-09-10;Cameroon: Ndji Batchinga;Dioscorea cayenensis;YMVcp-HB290
YMVcp-HB298;MT501353.1;Yam mosaic virus;2016-09-11;Cameroon: Kella, Ntui;Dioscorea cayenensis subsp. rotundata;YMVcp-HB298
YMVcp-HB295;MT501354.1;Yam mosaic virus;2016-09-12;Cameroon: Beahango Mbangassina;Dioscorea cayenensis subsp. rotundata;YMVcp-HB295
YMVcp-WH126;MT501355.1;Yam mosaic virus;2016-11-02;Cameroon: Bafoussam;Dioscorea schimperiana;YMVcp-WH126
YMVcp-HB160;MT501356.1;Yam mosaic virus;2016-11-01;Cameroon: Ekoroko, Ntui;Dioscorea esculenta;YMVcp-HB160
YMVcp-HM190;MT501357.1;Yam mosaic virus;2016-11-01;Cameroon: Mbonge;Dioscorea cayenensis subsp. rotundata;YMVcp-HM190
