Map from character to field name
A:	Benin
B:	Brazil
C:	Burkina Faso
D:	Cameroon
E:	Cuba
F:	France
G:	French Guiana
H:	Ghana
I:	Ivory Coast
J:	Nigeria
K:	Togo
L:	USA
M:	?


Substitution rate (mu): 19.137529

Equilibrium frequencies (pi_i):
  A: 0.0767
  B: 0.1051
  C: 0.0725
  D: 0.0519
  E: 0.0739
  F: 0.0881
  G: 0.0986
  H: 0.0357
  I: 0.0943
  J: 0.112
  K: 0.0864
  L: 0.1049

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	0.7964	0.8748	2.4205	0.7961	0.7967	0.7972	1.0965	0.7965	1.8119	0.7973	0.7969
  B	0.7964	0	0.7947	0.7847	1.2065	0.7958	0.7971	0.7833	0.795	0.7423	0.7973	0.7972
  C	0.8748	0.7947	0	0.9204	0.795	0.797	0.7954	1.0331	1.1824	1.6845	0.7958	0.7952
  D	2.4205	0.7847	0.9204	0	0.7984	1.1888	0.9148	2.7242	0.844	6.2076	0.7874	0.7851
  E	0.7961	1.2065	0.795	0.7984	0	1.0175	0.7961	1.024	0.7951	1.4506	0.7963	0.796
  F	0.7967	0.7958	0.797	1.1888	1.0175	0	1.022	0.8911	1.2408	1.3789	0.7966	1.1996
  G	0.7972	0.7971	0.7954	0.9148	0.7961	1.022	0	0.7888	0.7958	0.8322	0.7978	0.7978
  H	1.0965	0.7833	1.0331	2.7242	1.024	0.8911	0.7888	0	0.8618	11.3674	0.7848	0.7817
  I	0.7965	0.795	1.1824	0.844	0.7951	1.2408	0.7958	0.8618	0	0.9825	0.7963	0.7956
  J	1.8119	0.7423	1.6845	6.2076	1.4506	1.3789	0.8322	11.3674	0.9825	0	1.117	0.7329
  K	0.7973	0.7973	0.7958	0.7874	0.7963	0.7966	0.7978	0.7848	0.7963	1.117	0	0.7979
  L	0.7969	0.7972	0.7952	0.7851	0.796	1.1996	0.7978	0.7817	0.7956	0.7329	0.7979	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	0.0611	0.0671	0.1857	0.0611	0.0611	0.0612	0.0841	0.0611	0.139	0.0612	0.0611
  B	0.0837	0	0.0835	0.0824	0.1268	0.0836	0.0838	0.0823	0.0835	0.078	0.0838	0.0838
  C	0.0634	0.0576	0	0.0667	0.0576	0.0578	0.0577	0.0749	0.0857	0.1222	0.0577	0.0577
  D	0.1256	0.0407	0.0477	0	0.0414	0.0617	0.0475	0.1413	0.0438	0.322	0.0408	0.0407
  E	0.0588	0.0891	0.0587	0.059	0	0.0752	0.0588	0.0756	0.0587	0.1072	0.0588	0.0588
  F	0.0702	0.0701	0.0702	0.1047	0.0896	0	0.09	0.0785	0.1093	0.1214	0.0702	0.1056
  G	0.0786	0.0786	0.0784	0.0902	0.0785	0.1008	0	0.0778	0.0785	0.0821	0.0787	0.0787
  H	0.0391	0.0279	0.0368	0.0972	0.0365	0.0318	0.0281	0	0.0307	0.4054	0.028	0.0279
  I	0.0751	0.075	0.1115	0.0796	0.075	0.1171	0.0751	0.0813	0	0.0927	0.0751	0.0751
  J	0.2029	0.0831	0.1886	0.6951	0.1624	0.1544	0.0932	1.2728	0.11	0	0.1251	0.0821
  K	0.0689	0.0689	0.0687	0.068	0.0688	0.0688	0.0689	0.0678	0.0688	0.0965	0	0.0689
  L	0.0836	0.0837	0.0835	0.0824	0.0835	0.1259	0.0837	0.082	0.0835	0.0769	0.0837	0
