Map from character to field name
A:	Benin
B:	Brazil
C:	Burkina Faso
D:	Cameroon
E:	Cote d'Ivoire
F:	French Guiana
G:	Guadeloupe
H:	Nigeria
I:	Puerto Rico
J:	?


Substitution rate (mu): 28.578627

Equilibrium frequencies (pi_i):
  A: 0.1282
  B: 0.1056
  C: 0.0983
  D: 0.0664
  E: 0.103
  F: 0.1006
  G: 0.1077
  H: 0.1683
  I: 0.122

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.787	0.7878	2.4106	0.7873	0.7868	0.7869	1.0743	0.787
  B	0.787	0	0.787	0.786	0.7871	0.7869	0.9705	1.0487	0.7871
  C	0.7878	0.787	0	0.964	0.8182	0.7869	0.7874	1.4112	0.7869
  D	2.4106	0.786	0.964	0	0.867	0.793	0.8521	8.0167	0.7847
  E	0.7873	0.7871	0.8182	0.867	0	0.7868	1.1933	1.08	0.7869
  F	0.7868	0.7869	0.7869	0.793	0.7868	0	0.7867	1.1374	0.7869
  G	0.7869	0.9705	0.7874	0.8521	1.1933	0.7867	0	1.4565	1.1827
  H	1.0743	1.0487	1.4112	8.0167	1.08	1.1374	1.4565	0	0.7575
  I	0.787	0.7871	0.7869	0.7847	0.7869	0.7869	1.1827	0.7575	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.1009	0.101	0.309	0.1009	0.1009	0.1009	0.1377	0.1009
  B	0.0831	0	0.0831	0.083	0.0831	0.0831	0.1025	0.1107	0.0831
  C	0.0774	0.0774	0	0.0948	0.0804	0.0773	0.0774	0.1387	0.0773
  D	0.1601	0.0522	0.064	0	0.0576	0.0527	0.0566	0.5324	0.0521
  E	0.0811	0.081	0.0843	0.0893	0	0.081	0.1229	0.1112	0.081
  F	0.0791	0.0791	0.0791	0.0797	0.0791	0	0.0791	0.1144	0.0791
  G	0.0848	0.1045	0.0848	0.0918	0.1285	0.0847	0	0.1569	0.1274
  H	0.1808	0.1764	0.2374	1.3488	0.1817	0.1914	0.2451	0	0.1275
  I	0.096	0.0961	0.096	0.0958	0.096	0.096	0.1443	0.0924	0
