Map from character to field name
A:	Dioscorea alata
B:	Dioscorea cayenensis
C:	Dioscorea cayenensis subsp. Rotundata
D:	Dioscorea cayenensis subsp. Rotundata (c.v Makakusa)
E:	Dioscorea cayenensis subsp. Rotundata(c.v Makakuska)
F:	Dioscorea cayenensis subsp. rotundata
G:	Dioscorea esculenta
H:	Dioscorea schimperiana
I:	Dioscorea sp.
J:	Dioscorea trifida
K:	?


Substitution rate (mu): 25.948247

Equilibrium frequencies (pi_i):
  A: 0.076
  B: 0.061
  C: 0.0872
  D: 0.0873
  E: 0.0935
  F: 0.2136
  G: 0.0935
  H: 0.1067
  I: 0.0935
  J: 0.0875

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.7783	0.7787	0.7787	0.7787	2.7034	0.7787	0.7787	0.7787	0.7786
  B	0.7783	0	0.7782	0.7782	0.7782	5.1649	0.7782	1.1438	0.7782	0.7782
  C	0.7787	0.7782	0	0.7787	0.7788	1.5222	0.7788	0.7788	0.7788	0.7786
  D	0.7787	0.7782	0.7787	0	0.7788	1.5206	0.7788	0.7788	0.7788	0.7786
  E	0.7787	0.7782	0.7788	0.7788	0	1.1338	0.7788	0.7788	0.7788	0.7786
  F	2.7034	5.1649	1.5222	1.5206	1.1338	0	1.1338	0.8679	1.1338	1.5199
  G	0.7787	0.7782	0.7788	0.7788	0.7788	1.1338	0	0.7788	0.7788	0.7786
  H	0.7787	1.1438	0.7788	0.7788	0.7788	0.8679	0.7788	0	0.7788	0.7786
  I	0.7787	0.7782	0.7788	0.7788	0.7788	1.1338	0.7788	0.7788	0	0.7786
  J	0.7786	0.7782	0.7786	0.7786	0.7786	1.5199	0.7786	0.7786	0.7786	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0592	0.0592	0.0592	0.0592	0.2055	0.0592	0.0592	0.0592	0.0592
  B	0.0475	0	0.0475	0.0475	0.0475	0.3152	0.0475	0.0698	0.0475	0.0475
  C	0.0679	0.0679	0	0.0679	0.0679	0.1328	0.0679	0.0679	0.0679	0.0679
  D	0.0679	0.0679	0.068	0	0.068	0.1327	0.068	0.068	0.068	0.0679
  E	0.0728	0.0728	0.0728	0.0728	0	0.1061	0.0728	0.0728	0.0728	0.0728
  F	0.5776	1.1034	0.3252	0.3249	0.2422	0	0.2422	0.1854	0.2422	0.3247
  G	0.0728	0.0728	0.0728	0.0728	0.0728	0.106	0	0.0728	0.0728	0.0728
  H	0.0831	0.1221	0.0831	0.0831	0.0831	0.0926	0.0831	0	0.0831	0.0831
  I	0.0728	0.0728	0.0728	0.0728	0.0728	0.106	0.0728	0.0728	0	0.0728
  J	0.0681	0.0681	0.0681	0.0681	0.0681	0.133	0.0681	0.0681	0.0681	0
